,Sales Person,Country,Product,Date,Amount,Boxes Shipped
671,Dennison Crosswaite,UK,Baker's Choco Chips,17-Jan-22,"$2,275 ",275
672,Jehu Rudeforth,Canada,Orange Choco,23-Jun-22,"$3,857 ",512
673,Jehu Rudeforth,UK,Smooth Sliky Salty,24-Aug-22,"$1,463 ",113
674,Andria Kimpton,UK,Caramel Stuffed Bars,07-Jun-22,"$7,924 ",275
675,Jan Morforth,UK,White Choc,22-Jun-22,"$8,799 ",47
676,Dotty Strutley,USA,Fruit & Nut Bars,13-Jul-22,"$2,898 ",276
677,Kelci Walkden,UK,Choco Coated Almonds,24-May-22,"$9,506 ",212
678,Gunar Cockshoot,New Zealand,After Nines,09-Aug-22,"$7,175 ",145
679,Kaine Padly,Canada,85% Dark Bars,06-Apr-22,"$1,729 ",31
680,Jan Morforth,New Zealand,Manuka Honey Choco,28-Jul-22,"$1,589 ",271
681,Gunar Cockshoot,New Zealand,Raspberry Choco,24-Aug-22,$630 ,52
682,Van Tuxwell,Australia,99% Dark & Pure,17-Jan-22,$112 ,128
683,Curtice Advani,USA,Drinking Coco,07-Feb-22,"$5,187 ",142
684,Brien Boise,Australia,Spicy Special Slims,09-May-22,"$6,223 ",256
685,Mallorie Waber,New Zealand,85% Dark Bars,06-Jun-22,"$7,714 ",106
686,Wilone O'Kielt,USA,Choco Coated Almonds,06-Jun-22,"$9,457 ",6
687,Beverie Moffet,New Zealand,Organic Choco Syrup,24-May-22,"$6,678 ",226
688,Gunar Cockshoot,UK,50% Dark Bites,13-Jan-22,"$2,107 ",121
689,Marney O'Breen,USA,Raspberry Choco,23-May-22,"$6,069 ",151
690,Jehu Rudeforth,UK,White Choc,29-Jun-22,"$1,862 ",284
691,Jehu Rudeforth,New Zealand,85% Dark Bars,11-Mar-22,"$6,972 ",89
692,Dotty Strutley,USA,85% Dark Bars,25-Apr-22,"$10,220 ",508
693,Rafaelita Blaksland,Australia,Smooth Sliky Salty,30-May-22,"$3,969 ",243
694,Curtice Advani,India,Manuka Honey Choco,23-May-22,"$1,547 ",170
695,Mallorie Waber,USA,Peanut Butter Cubes,23-May-22,"$1,162 ",18
696,Van Tuxwell,Canada,Peanut Butter Cubes,24-Jun-22,"$6,342 ",282
697,Kelci Walkden,New Zealand,Smooth Sliky Salty,11-Mar-22,"$10,633 ",277
698,Rafaelita Blaksland,USA,Smooth Sliky Salty,27-Jul-22,"$15,057 ",212
699,Rafaelita Blaksland,USA,White Choc,16-Aug-22,"$4,704 ",126
700,Roddy Speechley,Canada,Smooth Sliky Salty,07-Mar-22,"$9,338 ",11
701,Curtice Advani,New Zealand,After Nines,05-Apr-22,"$7,959 ",30
702,Camilla Castle,India,85% Dark Bars,04-May-22,"$9,023 ",51
703,Ches Bonnell,USA,Choco Coated Almonds,04-Jan-22,"$14,525 ",92
704,Marney O'Breen,Australia,Baker's Choco Chips,13-Jan-22,"$5,810 ",101
705,Wilone O'Kielt,New Zealand,Fruit & Nut Bars,11-Jul-22,"$6,426 ",98
706,Kaine Padly,Australia,Mint Chip Choco,17-May-22,"$4,403 ",159
707,Camilla Castle,New Zealand,Peanut Butter Cubes,21-Jul-22,"$1,582 ",62
708,Curtice Advani,Canada,Organic Choco Syrup,22-Feb-22,$791 ,22
709,Jan Morforth,India,99% Dark & Pure,23-May-22,"$9,100 ",187
710,Rafaelita Blaksland,Canada,Drinking Coco,12-Jul-22,"$9,884 ",200
711,Jan Morforth,UK,Orange Choco,15-Jun-22,"$3,780 ",201
712,Barr Faughny,New Zealand,50% Dark Bites,23-Jun-22,"$4,557 ",308
713,Curtice Advani,Australia,Eclairs,25-Mar-22,"$5,796 ",55
714,Jan Morforth,India,Caramel Stuffed Bars,04-Jul-22,$84 ,153
715,Andria Kimpton,UK,White Choc,12-May-22,"$9,037 ",101
716,Camilla Castle,New Zealand,Raspberry Choco,04-Apr-22,"$4,746 ",137
717,Madelene Upcott,Australia,Orange Choco,15-Apr-22,"$6,713 ",398
718,Roddy Speechley,Canada,Eclairs,08-Mar-22,"$6,237 ",88
719,Karlen McCaffrey,India,White Choc,17-Jan-22,"$7,483 ",232
720,Wilone O'Kielt,India,Mint Chip Choco,22-Aug-22,"$1,309 ",51
721,Andria Kimpton,UK,99% Dark & Pure,25-Jul-22,"$1,155 ",66
722,Marney O'Breen,UK,50% Dark Bites,14-Jun-22,"$2,989 ",124
723,Ches Bonnell,India,Choco Coated Almonds,05-Apr-22,"$9,625 ",78
724,Madelene Upcott,UK,Raspberry Choco,26-Aug-22,"$7,357 ",341
725,Wilone O'Kielt,Australia,50% Dark Bites,03-Aug-22,"$10,031 ",114
726,Gigi Bohling,Canada,White Choc,11-Jul-22,"$6,587 ",4
727,Wilone O'Kielt,New Zealand,Eclairs,11-Mar-22,"$3,311 ",22
728,Brien Boise,UK,Peanut Butter Cubes,10-Jan-22,"$15,330 ",30
729,Roddy Speechley,UK,Baker's Choco Chips,04-Apr-22,"$14,028 ",351
730,Karlen McCaffrey,Australia,50% Dark Bites,17-Jan-22,"$6,678 ",708
731,Marney O'Breen,New Zealand,Organic Choco Syrup,08-Jul-22,"$8,624 ",50
732,Jan Morforth,UK,Organic Choco Syrup,12-Apr-22,"$1,197 ",356
733,Rafaelita Blaksland,Canada,Fruit & Nut Bars,24-Aug-22,$483 ,185
734,Ches Bonnell,UK,Choco Coated Almonds,07-Jun-22,"$1,687 ",236
735,Gunar Cockshoot,Canada,Almond Choco,28-Jul-22,"$1,309 ",30
736,Husein Augar,USA,99% Dark & Pure,21-Feb-22,"$9,534 ",111
737,Dennison Crosswaite,Canada,Mint Chip Choco,08-Apr-22,"$1,694 ",289
738,Brien Boise,UK,Manuka Honey Choco,28-Jun-22,$70 ,103
739,Van Tuxwell,UK,Baker's Choco Chips,24-Mar-22,"$2,443 ",20
740,Barr Faughny,Australia,Caramel Stuffed Bars,29-Jul-22,"$2,933 ",55
741,Dennison Crosswaite,USA,Eclairs,25-May-22,"$2,044 ",90
742,Gigi Bohling,Australia,Raspberry Choco,30-Mar-22,"$6,524 ",303
743,Dennison Crosswaite,USA,Organic Choco Syrup,18-Jul-22,"$12,656 ",126
744,Beverie Moffet,Canada,Orange Choco,10-May-22,"$8,722 ",109
745,Mallorie Waber,Australia,Choco Coated Almonds,18-Mar-22,"$15,750 ",92
746,Ches Bonnell,India,Caramel Stuffed Bars,15-Jun-22,"$6,839 ",56
747,Van Tuxwell,Canada,50% Dark Bites,12-May-22,"$13,685 ",58
748,Kelci Walkden,New Zealand,Baker's Choco Chips,23-Jun-22,"$2,912 ",110
749,Beverie Moffet,India,Spicy Special Slims,21-Apr-22,"$3,339 ",171
750,Gigi Bohling,Australia,Almond Choco,17-Aug-22,$910 ,117
751,Rafaelita Blaksland,New Zealand,Eclairs,07-Feb-22,"$19,481 ",51
752,Kelci Walkden,Canada,Smooth Sliky Salty,17-Mar-22,"$8,099 ",118
753,Jan Morforth,India,Baker's Choco Chips,01-Aug-22,"$13,727 ",79
754,Jehu Rudeforth,Australia,Milk Bars,18-Mar-22,"$8,659 ",29
755,Gigi Bohling,Canada,Fruit & Nut Bars,14-Jun-22,"$5,782 ",103
756,Beverie Moffet,UK,Eclairs,22-Apr-22,"$8,463 ",155
757,Marney O'Breen,New Zealand,Eclairs,18-Jan-22,"$4,914 ",31
758,Husein Augar,Australia,99% Dark & Pure,26-Aug-22,"$3,087 ",128
759,Gunar Cockshoot,New Zealand,Fruit & Nut Bars,10-Jun-22,"$9,205 ",419
760,Curtice Advani,Canada,70% Dark Bites,31-Jan-22,"$2,303 ",7
761,Kelci Walkden,New Zealand,Manuka Honey Choco,08-Apr-22,"$1,358 ",106
762,Dotty Strutley,Australia,Baker's Choco Chips,07-Jun-22,"$3,605 ",68
763,Barr Faughny,Australia,85% Dark Bars,10-Feb-22,"$8,498 ",44
764,Beverie Moffet,Australia,50% Dark Bites,16-May-22,$700 ,457
765,Gunar Cockshoot,India,Baker's Choco Chips,18-Mar-22,"$2,191 ",524
766,Van Tuxwell,Australia,50% Dark Bites,13-Jul-22,$644 ,137
767,Oby Sorrel,USA,Manuka Honey Choco,25-Jul-22,"$4,340 ",86
768,Van Tuxwell,Canada,Choco Coated Almonds,19-Aug-22,"$2,282 ",296
769,Karlen McCaffrey,Canada,70% Dark Bites,24-Jun-22,"$7,714 ",597
770,Kelci Walkden,Canada,Fruit & Nut Bars,20-Jun-22,$826 ,149
771,Camilla Castle,India,99% Dark & Pure,02-Aug-22,$203 ,207
772,Madelene Upcott,New Zealand,70% Dark Bites,22-Feb-22,"$13,356 ",93
773,Mallorie Waber,New Zealand,Orange Choco,01-Feb-22,"$6,510 ",23
774,Jan Morforth,Canada,70% Dark Bites,14-Feb-22,"$5,894 ",305
775,Kelci Walkden,Australia,Milk Bars,24-Feb-22,"$7,910 ",125
776,Dennison Crosswaite,India,Orange Choco,18-Mar-22,$784 ,129
777,Husein Augar,UK,Eclairs,30-Aug-22,"$1,750 ",252
778,Gigi Bohling,USA,Peanut Butter Cubes,09-May-22,$280 ,75
779,Wilone O'Kielt,USA,Smooth Sliky Salty,18-Jan-22,$504 ,87
780,Curtice Advani,India,White Choc,04-Jul-22,"$7,154 ",342
781,Oby Sorrel,New Zealand,Spicy Special Slims,03-Jun-22,"$1,617 ",13
782,Beverie Moffet,New Zealand,Peanut Butter Cubes,23-Feb-22,"$10,822 ",30
783,Dotty Strutley,New Zealand,99% Dark & Pure,09-May-22,"$10,724 ",203
784,Kelci Walkden,India,70% Dark Bites,06-Jun-22,"$3,640 ",106
785,Kelci Walkden,India,Drinking Coco,04-Jul-22,"$7,532 ",234
786,Brien Boise,New Zealand,Drinking Coco,06-Jun-22,"$1,582 ",100
787,Dotty Strutley,Australia,Almond Choco,13-May-22,"$1,456 ",91
788,Wilone O'Kielt,New Zealand,Organic Choco Syrup,31-Jan-22,"$2,016 ",277
789,Ches Bonnell,New Zealand,Caramel Stuffed Bars,30-Jun-22,"$7,588 ",42
790,Barr Faughny,Canada,Manuka Honey Choco,25-Aug-22,"$3,402 ",249
791,Gigi Bohling,New Zealand,Smooth Sliky Salty,10-Jan-22,$700 ,97
792,Brien Boise,USA,Manuka Honey Choco,22-Aug-22,"$1,904 ",8
793,Roddy Speechley,New Zealand,85% Dark Bars,14-Apr-22,"$4,844 ",275
794,Oby Sorrel,UK,Smooth Sliky Salty,31-May-22,"$9,625 ",313
795,Oby Sorrel,UK,Raspberry Choco,08-Apr-22,"$4,599 ",323
796,Roddy Speechley,USA,Drinking Coco,21-Feb-22,"$3,003 ",155
797,Andria Kimpton,Australia,Manuka Honey Choco,30-Mar-22,"$9,744 ",377
798,Mallorie Waber,India,Raspberry Choco,02-Mar-22,"$1,400 ",2
799,Jehu Rudeforth,USA,Orange Choco,28-Jul-22,$364 ,170
800,Kaine Padly,New Zealand,70% Dark Bites,24-Mar-22,"$7,231 ",38
801,Curtice Advani,Australia,After Nines,11-Aug-22,$63 ,105
802,Husein Augar,UK,Almond Choco,17-May-22,"$8,309 ",166
803,Kaine Padly,Canada,Choco Coated Almonds,18-May-22,"$3,164 ",164
804,Roddy Speechley,UK,Peanut Butter Cubes,17-Aug-22,"$5,691 ",171
805,Ches Bonnell,New Zealand,Eclairs,04-Apr-22,$490 ,49
806,Brien Boise,India,85% Dark Bars,09-Aug-22,"$18,032 ",205
807,Brien Boise,New Zealand,Organic Choco Syrup,17-Jan-22,$637 ,313
808,Andria Kimpton,Canada,White Choc,14-Feb-22,"$4,067 ",29
809,Gigi Bohling,New Zealand,Orange Choco,16-May-22,"$8,204 ",307
810,Ches Bonnell,Canada,Smooth Sliky Salty,16-Mar-22,"$9,870 ",121
811,Husein Augar,Canada,70% Dark Bites,31-Jan-22,"$5,131 ",285
812,Barr Faughny,Canada,Organic Choco Syrup,10-Mar-22,"$1,141 ",205
813,Oby Sorrel,UK,Organic Choco Syrup,30-Jun-22,"$7,980 ",157
814,Van Tuxwell,New Zealand,Eclairs,01-Mar-22,"$5,229 ",182
815,Mallorie Waber,UK,Drinking Coco,27-May-22,"$3,423 ",100
816,Oby Sorrel,UK,Milk Bars,11-Jul-22,"$6,468 ",223
817,Karlen McCaffrey,New Zealand,Mint Chip Choco,02-Mar-22,"$4,326 ",61
818,Jehu Rudeforth,USA,Raspberry Choco,04-Mar-22,"$7,154 ",133
819,Kelci Walkden,UK,85% Dark Bars,23-Jun-22,"$3,997 ",228
820,Kelci Walkden,USA,Almond Choco,27-Jan-22,"$5,180 ",233
821,Marney O'Breen,Canada,Orange Choco,14-Jan-22,"$2,723 ",425
822,Dennison Crosswaite,India,Fruit & Nut Bars,29-Jul-22,$952 ,24
823,Brien Boise,Canada,Smooth Sliky Salty,13-May-22,"$5,691 ",495
824,Barr Faughny,Canada,Baker's Choco Chips,03-Feb-22,"$10,969 ",170
825,Brien Boise,India,Smooth Sliky Salty,27-May-22,"$5,964 ",26
826,Jan Morforth,Australia,Drinking Coco,18-Feb-22,"$2,821 ",24
827,Brien Boise,India,Spicy Special Slims,28-Jan-22,"$1,302 ",33
828,Van Tuxwell,UK,Eclairs,29-Jun-22,"$5,474 ",109
829,Wilone O'Kielt,India,Caramel Stuffed Bars,13-Jan-22,"$4,179 ",276
830,Jehu Rudeforth,UK,After Nines,27-Jun-22,"$1,946 ",164
831,Barr Faughny,Canada,White Choc,29-Mar-22,"$4,291 ",1
832,Gunar Cockshoot,India,Organic Choco Syrup,03-Jun-22,"$7,196 ",160
833,Mallorie Waber,Canada,Smooth Sliky Salty,21-Mar-22,"$1,939 ",98
834,Mallorie Waber,India,Eclairs,12-Apr-22,"$10,437 ",46
835,Rafaelita Blaksland,Australia,Raspberry Choco,19-Jan-22,"$6,916 ",259
836,Karlen McCaffrey,UK,50% Dark Bites,06-Apr-22,"$3,647 ",310
837,Kaine Padly,Australia,50% Dark Bites,02-Aug-22,"$8,995 ",78
838,Gigi Bohling,Australia,Eclairs,12-Apr-22,"$7,252 ",136
839,Oby Sorrel,India,Drinking Coco,21-Jul-22,"$16,380 ",130
840,Van Tuxwell,New Zealand,Baker's Choco Chips,22-Mar-22,"$9,660 ",24
841,Husein Augar,India,Peanut Butter Cubes,09-May-22,"$4,522 ",5
842,Andria Kimpton,Australia,Baker's Choco Chips,09-Aug-22,$329 ,109
843,Madelene Upcott,Canada,Choco Coated Almonds,20-Jul-22,"$3,458 ",294
844,Brien Boise,India,70% Dark Bites,14-Apr-22,"$4,641 ",413
845,Jehu Rudeforth,Canada,White Choc,25-Jan-22,"$4,627 ",136
846,Andria Kimpton,Australia,Almond Choco,25-Apr-22,"$3,192 ",175
847,Dotty Strutley,Canada,After Nines,17-Jan-22,$252 ,237
848,Karlen McCaffrey,USA,Eclairs,15-Aug-22,$868 ,125
849,Karlen McCaffrey,Canada,Fruit & Nut Bars,02-Jun-22,$210 ,16
850,Gunar Cockshoot,USA,85% Dark Bars,30-Jun-22,"$7,007 ",135
851,Dotty Strutley,New Zealand,Raspberry Choco,10-Feb-22,"$5,845 ",91
852,Marney O'Breen,Canada,Caramel Stuffed Bars,23-Feb-22,"$1,372 ",614
853,Dennison Crosswaite,India,Organic Choco Syrup,27-Jan-22,"$8,428 ",216
854,Camilla Castle,UK,Mint Chip Choco,26-May-22,"$4,977 ",317
855,Brien Boise,USA,70% Dark Bites,14-Apr-22,"$1,694 ",21
856,Madelene Upcott,Australia,99% Dark & Pure,01-Aug-22,"$4,326 ",154
857,Mallorie Waber,Australia,Eclairs,22-Aug-22,"$9,527 ",222
858,Marney O'Breen,India,99% Dark & Pure,22-Jul-22,"$10,766 ",157
859,Husein Augar,USA,Fruit & Nut Bars,28-Apr-22,"$1,288 ",27
860,Kelci Walkden,Australia,Almond Choco,30-May-22,"$4,879 ",350
861,Ches Bonnell,USA,Milk Bars,21-Jul-22,"$2,408 ",157
862,Jan Morforth,UK,Caramel Stuffed Bars,02-Aug-22,"$3,094 ",468
863,Brien Boise,New Zealand,70% Dark Bites,15-Jun-22,"$7,231 ",130
864,Oby Sorrel,India,85% Dark Bars,05-Jul-22,"$8,981 ",130
865,Kaine Padly,New Zealand,Smooth Sliky Salty,12-Apr-22,$7 ,518
866,Gigi Bohling,Australia,70% Dark Bites,18-Aug-22,"$1,372 ",105
867,Jan Morforth,UK,50% Dark Bites,12-Jan-22,"$5,250 ",293
868,Gunar Cockshoot,Canada,White Choc,11-Aug-22,"$7,560 ",15
869,Jehu Rudeforth,Australia,Spicy Special Slims,13-Jan-22,"$5,012 ",384
870,Husein Augar,UK,Baker's Choco Chips,29-Apr-22,"$3,038 ",135
871,Rafaelita Blaksland,New Zealand,After Nines,07-Jul-22,"$1,099 ",92
872,Madelene Upcott,New Zealand,Mint Chip Choco,11-Mar-22,"$7,413 ",4
873,Madelene Upcott,UK,70% Dark Bites,16-Feb-22,"$5,397 ",239
874,Barr Faughny,Australia,Organic Choco Syrup,07-Jan-22,"$2,303 ",33
875,Beverie Moffet,New Zealand,Drinking Coco,12-Jan-22,"$1,141 ",518
876,Beverie Moffet,India,Eclairs,09-Jun-22,"$10,325 ",147
877,Andria Kimpton,India,Eclairs,16-May-22,"$2,149 ",84
878,Gigi Bohling,UK,85% Dark Bars,23-Jun-22,"$12,362 ",94
879,Roddy Speechley,UK,Raspberry Choco,28-Jan-22,"$12,635 ",194
880,Dotty Strutley,UK,Mint Chip Choco,14-Jul-22,"$2,443 ",216
881,Barr Faughny,Canada,Drinking Coco,18-Apr-22,"$6,237 ",247
882,Oby Sorrel,USA,Milk Bars,14-Jun-22,"$1,736 ",79
883,Oby Sorrel,UK,Orange Choco,15-Apr-22,"$7,315 ",237
884,Curtice Advani,Canada,Peanut Butter Cubes,19-May-22,"$4,935 ",63
885,Gigi Bohling,India,White Choc,13-Apr-22,"$1,393 ",172
886,Husein Augar,Canada,Choco Coated Almonds,15-Aug-22,"$3,381 ",408
887,Wilone O'Kielt,India,Choco Coated Almonds,22-Aug-22,"$2,933 ",233
888,Wilone O'Kielt,New Zealand,Baker's Choco Chips,22-Apr-22,"$3,836 ",59
889,Kaine Padly,UK,Choco Coated Almonds,03-Aug-22,"$8,022 ",123
890,Dennison Crosswaite,New Zealand,Organic Choco Syrup,04-Jan-22,$371 ,229
891,Kelci Walkden,Canada,After Nines,13-Jan-22,"$16,702 ",198
892,Van Tuxwell,Australia,Baker's Choco Chips,11-May-22,"$13,258 ",32
893,Husein Augar,New Zealand,Peanut Butter Cubes,16-Feb-22,"$2,058 ",236
894,Kaine Padly,UK,Caramel Stuffed Bars,20-May-22,"$10,192 ",67
895,Jehu Rudeforth,UK,Drinking Coco,03-Feb-22,"$7,140 ",438
896,Beverie Moffet,India,Manuka Honey Choco,06-May-22,"$9,835 ",167
897,Gunar Cockshoot,UK,Choco Coated Almonds,30-Jun-22,"$5,775 ",135
898,Gunar Cockshoot,UK,Smooth Sliky Salty,22-Mar-22,$749 ,148
899,Camilla Castle,Canada,Orange Choco,17-Feb-22,"$7,770 ",54
900,Jehu Rudeforth,UK,85% Dark Bars,07-Jul-22,"$5,502 ",64
901,Oby Sorrel,UK,70% Dark Bites,16-Mar-22,"$6,223 ",181
902,Kelci Walkden,UK,99% Dark & Pure,12-Aug-22,"$3,507 ",114
903,Gigi Bohling,New Zealand,After Nines,21-Jan-22,"$5,600 ",181
904,Oby Sorrel,Australia,50% Dark Bites,06-May-22,$721 ,151
905,Oby Sorrel,Canada,50% Dark Bites,24-Jun-22,"$6,615 ",137
906,Barr Faughny,USA,White Choc,05-May-22,"$7,420 ",163
907,Rafaelita Blaksland,New Zealand,99% Dark & Pure,25-Mar-22,"$3,164 ",84
908,Curtice Advani,Australia,Caramel Stuffed Bars,14-Feb-22,"$9,114 ",140
909,Curtice Advani,New Zealand,85% Dark Bars,12-May-22,"$5,404 ",187
910,Barr Faughny,New Zealand,Smooth Sliky Salty,25-Jan-22,"$3,990 ",169
911,Ches Bonnell,UK,85% Dark Bars,28-Jun-22,"$14,924 ",12
912,Dennison Crosswaite,Australia,Drinking Coco,13-Jul-22,"$7,091 ",194
913,Roddy Speechley,USA,Milk Bars,16-May-22,"$2,807 ",252
914,Jan Morforth,India,After Nines,14-Mar-22,"$6,496 ",168
915,Gunar Cockshoot,USA,After Nines,15-Aug-22,"$3,738 ",261
916,Ches Bonnell,India,Orange Choco,16-Feb-22,"$1,190 ",256
917,Mallorie Waber,UK,Manuka Honey Choco,15-Jun-22,"$8,379 ",43
918,Barr Faughny,Australia,Raspberry Choco,27-May-22,"$9,268 ",100
919,Wilone O'Kielt,USA,Drinking Coco,14-Jun-22,"$1,029 ",98
920,Wilone O'Kielt,India,Eclairs,25-Feb-22,"$3,549 ",76
921,Wilone O'Kielt,India,After Nines,04-Aug-22,"$12,026 ",262
922,Kelci Walkden,India,99% Dark & Pure,28-Jun-22,"$2,303 ",244
923,Gunar Cockshoot,Canada,Spicy Special Slims,05-Apr-22,"$13,405 ",12
924,Madelene Upcott,Canada,Peanut Butter Cubes,05-Jul-22,"$14,763 ",113
925,Kaine Padly,New Zealand,Eclairs,20-Jan-22,"$12,894 ",48
926,Ches Bonnell,New Zealand,Drinking Coco,16-Feb-22,"$8,302 ",131
927,Curtice Advani,UK,Drinking Coco,12-Jul-22,$455 ,174
928,Kelci Walkden,India,Raspberry Choco,16-Jun-22,"$8,183 ",254
929,Dotty Strutley,Australia,Choco Coated Almonds,13-Apr-22,"$1,645 ",284
930,Kaine Padly,UK,50% Dark Bites,21-Feb-22,"$3,143 ",67
931,Roddy Speechley,Canada,Choco Coated Almonds,11-May-22,"$5,873 ",249
932,Ches Bonnell,India,50% Dark Bites,15-Apr-22,"$11,298 ",313
933,Oby Sorrel,Canada,Peanut Butter Cubes,07-Jun-22,"$12,425 ",167
934,Oby Sorrel,UK,White Choc,27-Jun-22,"$1,715 ",286
935,Barr Faughny,India,After Nines,29-Jul-22,"$8,190 ",109
936,Wilone O'Kielt,Canada,Smooth Sliky Salty,02-Jun-22,"$4,991 ",166
937,Rafaelita Blaksland,India,Mint Chip Choco,26-Jan-22,"$15,491 ",85
938,Rafaelita Blaksland,Canada,99% Dark & Pure,02-Mar-22,"$5,096 ",142
939,Van Tuxwell,Australia,70% Dark Bites,10-Jan-22,"$7,063 ",104
940,Beverie Moffet,USA,70% Dark Bites,27-Jun-22,"$2,275 ",115
941,Barr Faughny,Canada,Orange Choco,30-Jun-22,"$7,602 ",18
942,Roddy Speechley,Australia,85% Dark Bars,08-Jul-22,"$4,200 ",80
943,Oby Sorrel,India,Spicy Special Slims,08-Jun-22,"$11,137 ",88
944,Jan Morforth,UK,Manuka Honey Choco,18-Aug-22,"$3,388 ",212
945,Kaine Padly,Australia,After Nines,08-Apr-22,"$6,832 ",306
946,Wilone O'Kielt,Canada,Fruit & Nut Bars,08-Aug-22,"$3,437 ",181
947,Wilone O'Kielt,UK,Milk Bars,26-Aug-22,$301 ,65
948,Oby Sorrel,Canada,Fruit & Nut Bars,14-Jan-22,"$1,869 ",158
949,Dennison Crosswaite,USA,Baker's Choco Chips,11-Aug-22,"$17,465 ",271
950,Madelene Upcott,USA,Almond Choco,31-May-22,"$10,143 ",24
951,Van Tuxwell,New Zealand,50% Dark Bites,11-Jul-22,"$3,626 ",10
952,Karlen McCaffrey,Canada,Caramel Stuffed Bars,02-Mar-22,"$3,346 ",304
953,Madelene Upcott,Australia,Raspberry Choco,13-Jul-22,"$6,321 ",88
954,Rafaelita Blaksland,UK,Spicy Special Slims,03-Aug-22,"$9,345 ",133
955,Curtice Advani,UK,Peanut Butter Cubes,01-Mar-22,"$15,008 ",165
956,Kelci Walkden,New Zealand,White Choc,13-Apr-22,"$7,609 ",150
957,Beverie Moffet,Canada,Fruit & Nut Bars,14-Feb-22,"$10,332 ",180
958,Mallorie Waber,India,White Choc,26-Jul-22,$819 ,213
959,Brien Boise,UK,Drinking Coco,27-Jan-22,"$5,754 ",133
960,Jehu Rudeforth,India,Peanut Butter Cubes,14-Apr-22,$28 ,446
961,Oby Sorrel,USA,Almond Choco,19-May-22,"$6,440 ",141
962,Husein Augar,India,Eclairs,09-Feb-22,"$4,956 ",58
963,Brien Boise,UK,Spicy Special Slims,25-May-22,"$2,352 ",58
964,Oby Sorrel,Australia,Manuka Honey Choco,26-Jan-22,"$3,906 ",76
965,Beverie Moffet,India,White Choc,04-Jul-22,"$1,813 ",296
966,Ches Bonnell,India,Almond Choco,13-Apr-22,"$11,788 ",73
967,Gigi Bohling,Australia,Smooth Sliky Salty,25-Jan-22,"$5,768 ",119
968,Camilla Castle,USA,85% Dark Bars,25-Apr-22,"$2,401 ",78
969,Camilla Castle,USA,Eclairs,10-Jun-22,"$4,515 ",392
970,Madelene Upcott,New Zealand,White Choc,22-Aug-22,"$10,794 ",51
971,Van Tuxwell,India,After Nines,27-Jun-22,"$13,706 ",207
972,Husein Augar,India,Orange Choco,30-Jun-22,"$4,361 ",40
973,Jehu Rudeforth,India,Almond Choco,30-Aug-22,"$10,122 ",100
974,Karlen McCaffrey,Australia,Raspberry Choco,23-Aug-22,$994 ,57
975,Camilla Castle,New Zealand,99% Dark & Pure,26-Aug-22,"$2,268 ",42
976,Gigi Bohling,Australia,Orange Choco,09-Mar-22,$574 ,156
977,Kelci Walkden,UK,Drinking Coco,20-Apr-22,"$1,792 ",23
978,Mallorie Waber,Canada,Caramel Stuffed Bars,10-Jun-22,"$4,844 ",539
979,Husein Augar,Australia,Organic Choco Syrup,08-Feb-22,$938 ,158
980,Brien Boise,Australia,White Choc,25-Aug-22,"$4,879 ",22
981,Dotty Strutley,India,Peanut Butter Cubes,16-Feb-22,"$9,107 ",73
982,Dennison Crosswaite,UK,99% Dark & Pure,30-May-22,"$12,187 ",27
983,Gigi Bohling,New Zealand,50% Dark Bites,29-Jun-22,"$5,670 ",64
984,Gigi Bohling,USA,Milk Bars,16-Jun-22,$476 ,133
985,Brien Boise,UK,Caramel Stuffed Bars,04-Mar-22,"$2,681 ",149
986,Curtice Advani,New Zealand,Peanut Butter Cubes,15-Mar-22,"$1,533 ",434
987,Curtice Advani,New Zealand,50% Dark Bites,27-Jan-22,"$9,765 ",85
988,Beverie Moffet,Canada,Drinking Coco,05-Jul-22,$994 ,118
989,Barr Faughny,USA,Caramel Stuffed Bars,29-Mar-22,"$3,318 ",299
990,Mallorie Waber,Canada,Almond Choco,12-May-22,"$4,214 ",35
991,Oby Sorrel,USA,Drinking Coco,11-Mar-22,"$7,714 ",44
992,Brien Boise,New Zealand,Eclairs,11-Jul-22,"$4,690 ",299
993,Gunar Cockshoot,New Zealand,Choco Coated Almonds,01-Aug-22,"$13,062 ",62
994,Gunar Cockshoot,UK,Spicy Special Slims,16-Feb-22,"$12,488 ",200
995,Curtice Advani,USA,After Nines,13-Apr-22,"$14,147 ",235
996,Oby Sorrel,India,Choco Coated Almonds,14-Feb-22,$49 ,363
997,Ches Bonnell,Australia,Peanut Butter Cubes,14-Mar-22,"$10,199 ",68
998,Oby Sorrel,Australia,Spicy Special Slims,26-Apr-22,"$11,389 ",26
999,Jehu Rudeforth,Canada,Manuka Honey Choco,05-Apr-22,"$3,584 ",200
1000,Camilla Castle,Canada,Drinking Coco,03-Mar-22,"$12,481 ",264
1001,Kaine Padly,USA,Spicy Special Slims,13-Jun-22,"$2,107 ",175
1002,Marney O'Breen,New Zealand,70% Dark Bites,14-Feb-22,"$8,603 ",352
1003,Roddy Speechley,New Zealand,99% Dark & Pure,18-Apr-22,"$7,483 ",183
1004,Oby Sorrel,New Zealand,85% Dark Bars,01-Feb-22,"$3,381 ",417
1005,Dotty Strutley,New Zealand,Orange Choco,04-Aug-22,"$2,030 ",146
1006,Andria Kimpton,New Zealand,Almond Choco,05-Apr-22,"$6,559 ",158
